type1,type2,value
2,8,89.9661535
2,9,64.2130563
1,8,58.78430602
5,8,56.77975136
8,9,50.67054056
2,5,27.72298562
5,9,22.96661324
1,2,15.9675978
8,11,11.12978789
1,9,9.511546405
1,5,4.985068066
9,10,4.008504799
2,11,3.334952763
1,11,2.986595427
5,7,2.520259648
7,9,2.19672229
2,7,1.859809081
0,13,1.315559543
8,10,0.688231196
7,8,0.556535555
7,10,0.456492431
5,11,0.450324896
2,10,0.443766813
1,7,0.271432398
2,12,0.214693941
7,11,0.116433295
9,11,0.102653579
5,10,0.071652224
10,11,0.039941438
9,12,0.001345055
0,8,0.000615362
6,9,0.000459191
5,12,0.000123457
0,1,0
0,2,0
0,5,0
0,6,0
0,7,0
0,9,0
0,10,0
0,11,0
0,12,0
1,6,0
1,10,0
1,12,0
1,13,0
2,6,0
2,13,0
5,6,0
5,13,0
6,7,0
6,8,0
6,10,0
6,11,0
6,12,0
6,13,0
7,12,0
7,13,0
8,12,0
8,13,0
9,13,0
10,12,0
10,13,0
11,12,0
11,13,0
12,13,0
